gene_id,Oxy_rep3,Control_rep1,Control_rep2,Control_rep3,CoCl2_rep1,CoCl2_rep2,CoCl2_rep3,Oxy_rep1,Oxy_rep2
KRT85,0,0,0,0,0,0,0,1,0
KRT86,2.072,7.648,4.671,6.376,1.768,1,2,13.231,9.431
KRT87P,0,0,0,0,0,0,0,0,0
KRT8P41,2,2,2,0,3,3,8.001,1,4
KRT9,11,0,1,3,2,3,4,5,7
KRTAP1-1,0,0,1,0,0,0,0,0,0
KRTAP1-3,0,0,0,0,3,2,1,0,0
KRTAP1-4,0,0,0,0,0,0,0,0,0
KRTAP1-5,0,0,0,0,0,3,1,0,1
KRTAP10-1,0,0,0,0,0,1,0,0,0
KRTAP10-10,0,0,0,0,0,0,0,0,0
KRTAP10-11,0,0,0,0,0,0,0,0,0
KRTAP10-12,0,0,0,0,0,0,0,0,0
KRTAP10-2,1,0,0,0,0,0,0,0,0
KRTAP10-3,0,0,0,0,0,0,0,0,0
KRTAP10-4,0,0,0,0,0,0,0,0,0
KRTAP10-5,0,0,0,0,0,0,0,0,0
KRTAP10-6,0,0,0,0,0,0,0,0,0
KRTAP10-7,0,0,0,0,0,0,0,0,0
KRTAP10-8,0,0,0,0,0,0,0,0,0
KRTAP10-9,0,0,0,0,0,0,0,0,0
KRTAP11-1,0,0,0,0,2,1,0,0,0
KRTAP12-1,0,0,0,0,0,0,0,0,0
KRTAP12-2,0,0,0,0,0,0,0,0,0
KRTAP12-3,0,0,0,0,0,0,0,0,0
KRTAP12-4,0,0,0,0,0,0,0,0,0
KRTAP13-1,0,0,0,0,0,0,0,0,0
KRTAP13-2,0,0,0,0,0,0,0,0,0
KRTAP13-3,0,0,0,0,0,0,0,0,0
KRTAP13-4,0,0,0,0,0,0,0,0,0
KRTAP15-1,0,0,0,0,0,0,0,0,0
KRTAP16-1,0,0,0,0,0,0,0,0,0
KRTAP17-1,0,0,0,0,0,0,0,0,0
KRTAP19-1,0,0,0,0,0,1,0,0,0
KRTAP19-2,0,0,0,0,0,0,0,0,0
KRTAP19-3,0,0,0,0,0,0,0,0,0
KRTAP19-4,0,0,0,0,0,0,0,0,0
KRTAP19-5,0,0,0,1,1,1,0,0,0
KRTAP19-6,0,0,0,0,0,0,0,0,0
KRTAP19-7,0,0,0,0,0,0,0,0,0
KRTAP19-8,0,0,0,0,0,0,1,0,0
KRTAP2-1,0,0,0,0,0,0,0,0,0
KRTAP2-2,0,0,0,0,0,0,0,0,0
KRTAP2-2_2,0,0,0,0,0,0,0,0,0
KRTAP2-3,4,14,21,21,180,154,192,13,8
KRTAP2-4,0,0,0,0,0,0,0,0,0
KRTAP20-1,0,0,0,0,0,0,0,0,0
KRTAP20-2,0,0,0,0,0,0,0,0,0
KRTAP20-3,0,0,0,0,0,0,0,0,0
KRTAP20-4,0,0,0,0,0,0,0,0,0
KRTAP21-1,0,0,0,0,0,0,0,0,0
KRTAP21-2,0,0,0,0,0,0,0,0,0
KRTAP21-3,0,0,0,0,0,0,0,0,0
KRTAP22-1,0,0,0,0,0,0,0,0,0
KRTAP22-2,0,0,0,0,0,0,0,0,0
KRTAP23-1,0,0,0,0,0,0,0,0,0
KRTAP24-1,0,0,0,0,0,0,0,0,0
KRTAP25-1,0,0,0,0,0,0,0,0,0
KRTAP26-1,0,0,0,0,0,0,0,0,0
KRTAP27-1,0,0,0,0,0,0,0,0,0
KRTAP29-1,0,0,0,0,0,0,0,0,0
KRTAP29-1_1,0,0,0,0,0,0,0,0,0
KRTAP3-1,75,40,42,40,73,64,86,111,113
KRTAP3-2,0,0,0,0,0,0,0,0,0
KRTAP3-3,0,0,0,0,0,0,0,0,0
KRTAP4-1,0,0,0,0,0,0,0,0,0
KRTAP4-1_1,0,0,3,0,1,0,3,0,0
KRTAP4-11,0,0,0,0,0,0,0,0,0
KRTAP4-11_2,0,0,0,0,0,0,0,0,0
KRTAP4-12,0,0,0,0,0,0,1,0,0
KRTAP4-16,0,0,0,0,0,0,0,0,0
KRTAP4-16_2,0,0,0,0,0,0,0,0,0
KRTAP4-2,0,0,0,0,0.5,0,0,0,0
KRTAP4-2_1,0,0,0,0,0.5,0,0,0,0
KRTAP4-3,0,0,0,0,0,0,0,0,0
KRTAP4-3_1,0,0,0,0,0,0,0,0,0
KRTAP4-4,0,0,0,0,5,5,2,0,0
KRTAP4-5,0,0,0,0,0,0,0,0,0
KRTAP4-6,0,0,0,0,0,0,1,0,0
KRTAP4-7,0,0,0,0,0,0,0,0,0
KRTAP4-8,0,0,0,0,0,0,0,0,0
KRTAP4-8_2,0,0,0,0,0,0,0,0,0
KRTAP4-9,0,0,0,0,0,0,0,0,0.5
KRTAP4-9_2,0,0,0,0,0,0,0,0,0.5
KRTAP5-1,4,1,1,0,0,0,0,3,2
KRTAP5-10,0,0,1,0,0,0,0,0,0
KRTAP5-11,0,0,0,0,0,0,0,0,0
KRTAP5-2,0,0,1,0,1,1,1.68,0,0
KRTAP5-3,0,0,0,0,0,0,0,0,0
KRTAP5-3_3,0,0,0,0,0,0,0,0,0
KRTAP5-4,0,0,0,0,0,0,0,0,0
KRTAP5-4_3,0,0,0,0,0,0,0,0,0
KRTAP5-5,0,0,0,0,0,0,0,0,0
KRTAP5-5_3,0,0,0,0,0,0,0,0,0
KRTAP5-6,0,0,1,0,0,0,0,0,0
KRTAP5-7,0,0,1,0,0,1,4,0,0
KRTAP5-8,0,0,0,0,0,1,1,0,0
KRTAP5-9,1,0,1,0,2,0,4,0,2
KRTAP5-AS1,1.5,1,0,0.5,0,0.5,0.66,1.5,0.5
KRTAP5-AS1_3,1.5,1,0,0.5,0,0.5,0.66,1.5,0.5
KRTAP6-1,0,0,0,0,0,0,0,0,0
KRTAP6-2,0,0,0,0,0,0,0,0,0
KRTAP6-3,0,0,0,0,0,0,0,0,0
KRTAP7-1,0,0,0,0,0,0,0,0,0
KRTAP8-1,0,0,0,0,0,0,0,0,0
KRTAP9-1,0,0,0,0,0,0,0.5,0,0
KRTAP9-1_1,0,0,0,0,0,0,0.5,0,0
KRTAP9-2,0,0,0,0,0,0,0,0,0
KRTAP9-2_1,0,0,0,0,0,0,0,0,0
KRTAP9-2_2,0,0,0,0,0,0,0,0,0
KRTAP9-2_3,0,0,0,0,0,0,0,0,0
KRTAP9-3,0,0,0,0,0,0,0,0,0
KRTAP9-3_1,0,0,0,0,0,0,0,0,0
KRTAP9-4,0,0,0,0,0,0,0,0,0
KRTAP9-4_1,0,0,0,0,0,0,0,0,0
KRTAP9-4_3,0,0,0,0,0,0,0,0,0
KRTAP9-6,0,0,0,1,0,0,0,0,0
KRTAP9-6_1,0,0,0,0,0,0,0,0,0
KRTAP9-7,0,1,0,0,0,0,0,0,0
KRTAP9-7_1,0,0,0,0,0,0,0,0,0
KRTAP9-8,0,0,0,0,0,0,1.475,0,0
KRTAP9-8_1,0,0,0,0,0,2,0,0,0
KRTAP9-8_2,0,0,0,0,0,0,1.525,0,0
KRTAP9-9,0,0,0,0,0,0,0,0,0
KRTAP9-9_1,0,0,0,0,0,0,0,0,0
KRTAP9-9_3,0,0,0,0,0,0,0,0,0
KRTCAP2,769,823,912,878,442,369,561,952,1045
KRTCAP3,153.001,373,356,347,192,150,251,177.999,174
KRTDAP,0,2,0,0,0,2,0,1,0
KSR1,3665.001,2250,2377.001,2022.001,2566,1909,3049.999,4645.002,4500
KSR2,10,12,6,4,2,1,4,15,9
KTI12,49.287,136.752,221.637,212.424,206.284,154.315,248.1,34.159,95.124
KTN1,3785,4676,5260.001,4856,5514,4535.999,6408.001,4323.002,4150
KTN1-AS1,17,23,26,27,9,8,15,17,29
KU-MEL-3,1,0,0,0,0,0,0,0,0
KXD1,1180,1028,1169,1011.001,774,619.001,926,1481,1512
KY,1,0,1,0,3,2,1,0,1
KYAT1,68,92,70.001,52,60.999,45,75.999,68,68
KYAT3,114.966,247.385,266.525,208.593,144,158.769,195.452,161.857,153
KYNU,23,47,55.007,42,38,26,43,30,25
L1CAM,1506,1212,1341,1322,427,344,542,1820,1867
L1CAM-AS1,7,5,1,1,2,0,0,4,1
L1TD1,23,38,39,36,7,6,11,27,29
L2HGDH,765.385,636.634,737.525,574.551,275.735,231.929,318.683,785.543,792.801
L3HYPDH,239.001,268.999,314,320.001,187,133,217,287,292
L3MBTL1,32,35.999,35.999,26,27,35,46.999,29,52.001
L3MBTL2,419.128,595.478,643.826,559.372,610.416,485.26,806.975,520.266,471.685
L3MBTL2-AS1,9.864,14.511,10.122,16.628,24.575,13.721,17.972,11.696,11.272
L3MBTL3,298,185,209.001,191,195,159.999,249,395.001,374
L3MBTL4,1,0,2,0,2,2,0,2,2
L3MBTL4-AS1,0,0,0,0,0,0,0,0,0
LACAT1,0,0,2,1,0,0,0,0,2
LACAT1_1,1,0,0,0,0,0,0,0,0
LACC1,354.998,294.724,422.406,358.278,248,223.999,327.865,383.205,372.691
LACRT,0,0,0,0,0,0,0,0,0
LACTB,327,255,312,245,165,131,208,382,437.999
LACTB2,538.959,632.689,747.799,677.969,245.863,178.809,295,613.846,602.79
LACTB2-AS1,1.041,6.311,4.201,1.031,3.137,3.191,0,3.154,4.21
LACTBL1,0,0,0,0,0,0,0,0,1
LAD1,1473,2798,2960,2769,384,301,526,1750,1683
LAG3,12,3,6,7,9,8,7,12,14
LAGE3,195,242,283,244,143,123,166,231,216
LAIR1,0,1,0,3.477,0,0,0,1,3
LAIR1_1,0,0,0.339,0,0,0.333,0.828,0,0
LAIR1_2,1.718,0,0,0,0,0,0,0,0
LAIR1_3,0,0,0.339,0.882,0,0.333,0.828,0,0
LAIR1_4,0,0,0.339,0.882,0,0.333,0.828,0,0
LAIR2,0,0,0,0,0,0,0,0,0
LAIR2_1,0,0,0,0,0,0,0,0,0
LAIR2_2,0,0,0,0,0,0,0,0,0
LALBA,0,0,0,0,0,0,0,0,0
LAMA1,1238.739,2565.52,2505.414,1786.145,282.923,199,326.816,1321.6,1340.548
LAMA2,3,2,1,0,36,17,39.762,5,5
LAMA3,1668.001,1407,1702.999,1384.001,707.999,563,912,1990.001,2021.001
LAMA4,5,1,3,0,0,3,2,3,7
LAMA4-AS1,0,0,0,0,0,0,0,0,0
LAMA5,14254.139,14501.224,16805.636,14998.125,10527.475,8650.573,13386.243,17741.011,18658.19
LAMA5-AS1,3.041,0,1.009,2.022,2.025,2.045,5.129,1.012,2
LAMB1,11501.999,12797,14026,12279,8581.001,6845,10689.999,13280.999,13408
LAMB2,2229.134,1404.258,1559.301,1408.287,1520.243,1130,1917.477,2750.252,2677.34
LAMB2P1,0,0,0,0,1,0,2,3,1
LAMB3,8066,3093,3202,2917,16212.999,12779.999,20228,9958,10100.001
LAMB4,13.001,11,8,6,17.003,10,19,3,7
LAMC1,25513,19160,21572,18600,17908,13841,21775,30230,30297
LAMC1-AS1,7,6,11,8,10,6,21,5,13
LAMC2,13865,5138.999,5928.001,5175.001,7547,5810,9399.001,17192.001,16927.999
LAMC3,4,2,3,5,0,3,4,4,6
LAMP1,5717,5629,6125,5367,10019,7976,11678.001,6918,7059.999
LAMP2,2957,2318,2817,2323.989,4649.995,4070,5349,3295,3711
LAMP3,137,40,56,36,10,17,21,182,172
LAMP5,0,0,0,0,0,0,0,0,0
LAMP5-AS1,0,0,0,0,0,0,0,0,0
LAMTOR1,1955,2329,2531,2348,1382,1241,1870,2384,2516
LAMTOR2,235,380,374,346,193,137,180,254,263
LAMTOR3,532,478,593.999,462.001,1451,1187,1800,642,684.001
LAMTOR4,338,561.001,531.999,482.999,303.001,222,371.001,398,404.001
LAMTOR5,609,579,687,593,660,582,811,770,796
LAMTOR5-AS1,1,6,9,4,2,3,8,1,2
LANCL1,523,498,610,514,203,171,220,600,624
LANCL1-AS1,2,0,0,1,0,0,2,3,5
LANCL2,420,543,564,485,425,325,500,492,520
LANCL3,2,0,1,1,2,9,1,6,5
LAP3,1056,1375,1387,1199,824,607,941,1240.991,1231
LAPTM4A,2905,2534,2819,2339,5445,4783,5987,3225,3319
LAPTM4A-DT,0,0,0,0,0,0,0,0,0
LAPTM4B,2508,2933,3331,2895,4490,3662,5044,3237,3356
LAPTM5,6,4,8,0,2,4,1,3,7
LARGE-AS1,0,0,0,0,0,0,0,0,0
LARGE1,137.999,86.001,69.941,76.999,79.173,70,106,152.999,183.065
LARGE1-AS1,1,0,1.059,0,1,2,1,1,0
LARGE2,427,657,734.999,687,102,64.999,108,582.001,561
LARP1,6276.005,8702.008,9494.999,8156.653,11194.054,8331.963,12902.999,7604.854,7649.296
LARP1B,591,580.002,662,525,573.001,443.001,657.999,717,766.999
LARP4,1843.998,2462.999,3008.999,2499,6754,5391,7436,2233,2292
LARP4B,3222.138,3104.266,3644.007,3137.005,5925.045,4769.082,7081.069,4006.481,3948.018
LARP4B-DT,0,0,0,0,0,0,0,0,0
LARP6,238,146,145.999,161.001,204,162,232.001,274,295
LARP7,575.925,994.82,1058.471,882.681,1198.394,939.87,1306.942,673,708
LARS1,3922,3388,3765,3113,3170,2542.999,3905,4154,4173
LARS2,763,1264.999,1338,1146,587,500,816.001,893,906
LARS2-AS1,0,1,0,0,2,6,3,1,2
LAS1L,982.001,1367.999,1396.999,1131,915.999,778,1234,1205,1122
LASP1,8887,6148,6647,5920,13272.999,10391,16172,10435,10319
LASTR,0,3,1,0,1,1,0,0,2
LAT,6,13,7,20,27,26,52,14,13
LAT2,10,6,18,6,8,11,11,5,13
LATS1,701.678,626.349,831.198,724.359,950.463,802.496,1091.152,878.905,911.606
LATS2,901,832.999,909,752,1724,1371,1896,1050,1116
LAX1,0,0,0,0,0,1,2,0,0
LAYN,0,1,2,0,1,3,4,2,0
LBH,5720,3246,3559,3013,8466,6705,9592,7060,7093
LBHD1,279.056,218.883,247.877,191.905,169.505,121.646,167.817,385.74,328.542
LBHD2,0,0,0,0,0,0,0,0,0
LBP,2,0,1,1,0,1,3,1,1
LBR,1463.001,2655.999,3019.001,2510,2610.999,2141,2987,1697,1588
LBX1,0,0,0,0,0,0,0,0,0
LBX1-AS1,0,1,0,0,0,0,1,0,0
LBX2,14.012,35.219,39.818,27.832,13.465,9.797,10.378,24,18.697
LBX2-AS1,101.988,189.782,215.182,164.169,85.535,64.202,109.622,106,128.303
LCA5,398,517.894,671.918,538.869,616.882,572.879,739.804,454.973,491.883
LCA5L,13,10.645,14,13.292,8,11,9.942,18.672,9.369
LCAL1,1,5,2,3,21,30,33,0,3
LCAT,150.195,123.973,146.361,152.445,46,34.814,60.564,209.278,203.324
LCDR,20.625,23,13,17.583,9,8,3,16,22
LCE1A,0,0,0,0,0,0,0,0,0
LCE1B,0,0,0,0,0,0,0,0,0
LCE1C,0,0,0,0,0,0,0,0,0
LCE1D,0,0,0,0,0,0,0,0,0
LCE1E,0,0,0,0,0,0,0,0,0
LCE1F,0,0,0,0,0,0,0,0,0
LCE2A,0,1,1,0,0,0,0,0,0
LCE2B,0,0,0,0,0,1,0,0,0
LCE2C,1,2,0,0,2,1,1,1,1
LCE2D,0,0,0,1,0,0,1,0,0
LCE3A,0,0,0,0,0,0,0,0,0
LCE3B,0,0,0,0,0,0,0,0,0
LCE3C,0,0,0,0,0,0,0,0,0
LCE3D,0,0,0,0,0,0,0,0,0
LCE3E,0,0,0,0,0,0,0,0,0
LCE4A,0,0,0,0,0,0,0,0,0
LCE5A,0,0,0,0,0,0,0,0,0
LCE6A,0,0,0,0,0,0,0,0,0
LCE7A,0,0,0,0,0,0,0,0,0
LCK,5,0,0,1,3,1,2,5,7
LCLAT1,517.26,560.069,664.304,581.223,364.3,291.907,487.589,544.991,588.712
LCMT1,738,605,677.001,575.999,591,448,694.001,953,879.001
LCMT1-AS1,0,2,1,5,0,9,4,1,5
LCMT1-AS2,4,3,1,2,6,1,4,1,7
LCMT2,172.126,262.621,238.86,223.113,58.07,43.992,78.917,194.993,176.546
LCN1,0,0,0,0,0,0,0,1,0
LCN1_1,0,0,0,0,0,0,0,0,0
LCN10,11,0,1,1,0,0,3,15,15
LCN12,36,35,34,34,4,1,6,41,47
LCN15,0,1,0,0,0,1,0,6,4
LCN2,4,1,0,2,1,6,3,0,1
LCN6,0,0,0,0,0,0,0,1,0
LCN8,0,0,0,0,0,0,0,0,0
LCN9,0,0,0,0,0,0,0,0,0
LCNL1,0,0,0,0,0,1,1,0,0
LCOR,1235,866,1087,924,1513.001,1298,1797,1470,1665.001
LCORL,120.173,111.143,156.434,134.709,104.656,83.453,102.782,128.935,117.264
LCP1,2631,3227,3438,2956,3283,2738,4156,3166,3105
LCP2,0,0,0,0,0,0,0,0,0
LCT,32,36,40,31,12,4,16,45,37
LCT-AS1,0,0,2,0,0,0,0,0,0
LCTL,6.503,1.263,10.889,8.103,14,5.081,8.262,18.547,22.648
LDAF1,379.999,154,146.089,119.958,317,292.386,406,509.001,516.48
LDAF1_1,0,0,2.911,0,0,2.614,0,0,3.521
LDAH,560.999,682,752,695,396.001,293.001,464,619.002,611
LDB1,939,928.999,1008,922.831,1129.999,949.999,1418,1066.999,1122.001
LDB2,0,0,0,0,0,0,0,0,0
LDB3,1,4,1,2,0,0,0,3,1
LDC1P,1,0,0,0,1,1,2,0,1
LDHA,57415.99,20909.993,22770.996,19504.987,45881.972,35265.988,52209.992,66811.985,67190.984
LDHAL6A,1,0,2,1,7,1,6,2,1
LDHAL6B,0,0,0,2,4,5,8,4,2
LDHB,17049,33003,33878,28517,17067,12437.001,18875.001,19211,18925
LDHC,1,2,0,0,3,1,4,0,1
LDHC_1,0,0,0,0,0,0,1,0,0
LDHD,27,59,47,46,0,3,2,24,25
LDLR,5214.945,2808.988,3130.995,2804.002,12261.961,9021.957,13875.946,6552.978,6422.968
LDLR-AS1,5.001,9.002,7.002,4.999,29.008,32.012,35.027,18.004,22.006
LDLRAD1,0,0,1,1,0,0,1,0,0
LDLRAD2,11.751,19.577,29.773,20.552,2.619,1.38,5.797,13.924,14.673
LDLRAD3,463,457,503,403,162,136,168,579,616
LDLRAD4,0,1,3,0,21,23,29,2,3.012
LDLRAD4-AS1,0,0,0,0,0,0,0,0,0
LDLRAP1,376.001,310,345.999,263,108,109,136,473.999,462.999
LDOC1,0,0,0,0,0,0,0,0,0
LEAP2,9,19,22,6,17,13,17,11,8
LECT2,5,2,5,2,1,0,3,2,5
LEF1,127,296.87,300.558,294.818,59,35.833,65.94,152.846,145.902
LEF1-AS1,2,0,1.074,1.093,2,3.167,0,1.154,0
LEFTY1,1,0,0,0,0,0,2,0,0
LEFTY2,0,0,0,0,0,2,0,0,0
LEKR1,3,5,9,5,2,7,5,6,6
LELP1,0,0,0,0,0,0,0,0,0
LEMD1,0,0,0,1,1,0,0,0,0
LEMD1-AS1,0,0,0,0,1.004,0,0,0,0
LEMD1-DT,0,0,0,0,0,0,0,0,0
LEMD2,665,722,839,682.999,312,307,425,809.001,868
LEMD3,766,666,776,637,1689,1445,1845,859,884
LENEP,0,0,1,1,2,0,5,1,0
LENG1,0,0,0,0,0,0,0,0,0
LENG1_1,142.37,150.997,162.005,121.373,302.699,234.118,344.184,168.212,163.107
LENG8,1690.954,2002.502,2250.254,2016.801,3625.328,2605.003,4023.579,2052.379,2128.206
LENG8_2,0,0,0,6.369,0,6.863,0,0,0
LENG8-AS1,15,8,14,24,22,9,10.5,12.5,23
LENG8-AS1_1,0,0,0,0,0,0,0,0,0
LENG8-AS1_2,15,8,14,0,0,9,10.5,12.5,0
LENG9,55.046,91.497,81.843,70.897,37.286,35.361,34.659,87.561,64.708
LENG9_2,0,0,2.903,1.933,3.386,8.772,3.762,2.059,7.086
LEO1,923,1100,1117,1048,1531,1160,1680,1055,960
LEP,0,0,0,0,0,0,1,0,0
LEPR,30.217,35.464,62.603,42.306,52.96,36.252,54.469,33.652,30.612
LEPROT,751.085,760.535,937.396,753.017,422.555,400.402,589.052,839.738,852.907
LEPROTL1,467,592,719,638,401,305,464,594,649
LERFS,0,1.224,0,1.076,0,0,0,0,0
LETM1,1131.773,1395.254,1491.853,1367,1087,901,1383,1288,1339.774
LETM2,20,22,19,29,19.999,14,20.999,34,26
LETMD1,1221.868,889.63,963.925,847.398,538.86,416.465,702.822,1401.27,1426.897
LETR1,0,0,0,0,0,0,0,0,0
LEUTX,0,0,0,0,0,0,0,0,0
LEXM,1,1,0,2,2,2,4,4,0
LFNG,110,52,52,51,40,30,57,122,113
LGALS1,16,17,19,23,29,33,42,15,23
LGALS12,1,4,3,4,0,0,1,0,0
LGALS13,0,0,0,1,0,0,0,1,0
LGALS14,120,8,4,6,1,5,6,160,141
LGALS16,0,0,0,0,0,0,0,0,1
LGALS17A,0,0,0,0,0,0,1,0,0
LGALS2,171,276,266,232,37,35,28,172,195
LGALS3,6146,4887,5264.999,4926,4687.001,3813.002,5702,7277,7394.406
LGALS3BP,1079,633,607,640,618,538,855,1294,1275
LGALS4,19,5,4,3,3,31,10,17,17
LGALS7,0,0,0,1,0,0,0,0,0
LGALS7_1,0,0,0,1,0,0,0,2,0
LGALS7B,1.5,3,0,0,2,0.5,0,0,4
LGALS7B_1,1.5,3,0,0,0,0.5,0,0,0
LGALS8,1776.966,1014.035,1141.031,914.298,2863.483,2317.493,3436.343,2144.715,2041.849
LGALS8-AS1,46.095,27.301,26.431,28.136,55.475,61.666,80.423,57.365,56.636
LGALS9,29,11,12,12,31.912,20,32,37,53
LGALS9B,0,0,0,0,0,0,0,0,0
LGALS9C,0,0,0,0,1.088,0,0,0,0
LGALSL,855,752,866,807,457,313,522,930,927
LGALSL-DT,10,22,26,24,10,8,5,11,7
LGI1,2,3,5,3,2,1,1,2,1
LGI2,61,95.022,144.291,112,11,7,7,66,57
LGI3,1,0,2,0,1,2,0,3,0
LGI4,187,1,4,3,4,4,4,262,220
LGMN,2601,1464,1617.999,1399,4921.999,3841.001,5678,3140.001,3142
LGR4,770,758,963,753,1472,1212,1616,817,904
LGR4-AS1,0,0,1,2,0,2,0,0,1
LGR5,701.999,1185,1414.001,1200,916.999,761,1051,849,924
LGR6,1,0,2,0,0,0,1.399,0,1
LGSN,99.249,247.342,245.668,207.537,472.082,347.718,496.645,154.89,145.46
LHB,17.257,11,9,4.305,25.754,9.788,33,27.347,29.954
LHCGR,0,0,0,0,0,0,0,0,0
LHFPL1,0,0,0,0,0,0,0,0,0
LHFPL2,1289,861,910,820,973,727,1152,1459.999,1537.999
LHFPL3,5,3,1,0,1,1,2,6,3
LHFPL3-AS1,0,0,0,0,0,0,0,0,0
LHFPL3-AS2,19,2,4,7,7,10,8,14,18
LHFPL4,0,0,0,1,2,0,0,0,0
LHFPL5,0,0,0,0,0,0,0,0,0
LHFPL6,112.11,84.703,91,74,24.942,14.851,26,91.563,106
LHFPL7,0,0,0,0,0,0,0,0,0
LHPP,37.001,53,60,45,26,17,24,34,36
LHX1,2,1,1,0,1,2,1,1,2
LHX1_1,0,0,0,0,0,0,0,0,0
LHX1-DT,2.5,0,0,1,1,0,0.5,5.5,0
LHX1-DT_1,2.5,0,0,0,1,0,0.5,5.5,3
LHX2,86,29,33,41,13,9,16,108,106
LHX2-AS1,0,0,0,0,0,1,1,4,5
LHX3,7,3,2,9,2,0,2,11,11
LHX4,55.245,0,4.855,7.641,5.55,0,20.863,59.367,31.774
LHX4-AS1,22.843,17.159,17.64,13.684,6.372,2.267,10.27,54.189,26.184
LHX5,12,4,2,7,3,4,2,15,13
LHX5-AS1,0,0,0,0,0,0,0,0,0
LHX6,210,203,265,214,121,81,151,241.001,239
LHX8,0,0,0,0,2,0,0,0,0
LHX9,0,2,0,1,0,1,2,0,1
LIAS,187,174,202,186.999,98,72,129,189,194
LIF,358.555,367.945,410.411,326.86,294.786,215,337.026,453.566,425.891
LIF-AS1,1,3,1,4,0,0,0,3,2
LIF-AS2,5.445,8.056,9.59,8.14,2.214,10,2.974,8.434,8.11
LIFR,59,57,86,53,45,61,67,71.892,70
LIFR-AS1,0,2,0,2,0,0,0,2.108,0
LIG1,1571,1429,1407,1361.999,597.999,486,753,1911.999,1794.999
LIG3,646.784,978.606,1067.974,943.128,373.959,330.712,490.314,742.868,739.327
LIG4,179.001,252,387,293,173.999,128,179,196,227.999
LILRA1,0,0,0,0,0,0,0,0,0
LILRA1_1,0,0,0,0,0,0,0,0,0
LILRA2,0,0,0,0,0.333,1,0,0,0
LILRA2_1,0,0,0,0,0.333,0,0,0,0
LILRA2_2,0,0,0,0,0.333,0,0,0,0
LILRA2_3,0,0,0,0,0,0,0,0,0
LILRA3,0,0,0,0,0,0,0,0,0
LILRA4,0,0,0,0,0,0,0,0,0
LILRA4_1,0,0,0,0,0,0,0,0,0
LILRA4_2,0,0,0,0,0,0,0,0,1
LILRA5,0,0,0,0,0,0,0,0,0
LILRA5_1,0,0,0,0,0,0,0,0,0
LILRA6,0.5,1.507,4.271,0,1.5,0.5,0,0,0
LILRA6_1,0,0,1.113,5.93,0,0,3,0,0
LILRA6_2,0.5,1.507,4.271,0,1.5,0.5,0,2.316,3.507
LILRA6_3,0,0,0,0,0,0,0,0,0
LILRA6_4,0,0,0,0,0,0,0,0,0
LILRB1,0,0,0,0,0,0,0,0,0
LILRB1_1,0,0,0,0,0,0,0,0,0
LILRB1_2,0,0,0,0,0,0,0,0,0
LILRB1_3,0,0,0,0,0,0,0,0,0
LILRB2,0,0,0,0,0,0,0,0,0
LILRB2_1,0,0,0,0,0,0,0,0,0
LILRB2_2,0,0,0,0,0,0,0,0,0
LILRB2_3,0,0,0,0,0,0,0,0,0
LILRB2_4,0,0,0,0,0,0,0,0,0
LILRB3,3,0,5.346,7.43,0,4.722,0,6.684,10.422
LILRB4,0,0,0,0,0,0,0,0,0
LILRB4_1,0,0,0,0,0,0,0,0,0
LILRB4_2,0,0,0,0,0,0,0,0,0
LILRB4_3,0,0,0,0,0,0,0,0,0
LILRB4_4,0,0,0,0,0,0,0,0,0
LILRB5,0,1,0,0,1.333,0,0.333,0.333,0
LILRB5_1,0,0,0,0,1.333,0,0.333,0.333,0
LILRB5_3,0,0,0,0,1.333,0,0.333,0.333,0
LILRB5_4,0,0,0,0,0,0,0,0,0
LILRP2,0,0,0,0,0,0,0,0.333,0
LILRP2_15,0,0,0,0,0,0,0,0,0
LILRP2_16,0,0,0,0,0,0,0,0,0
LILRP2_17,0,0,0,0,0,0,0,0.333,0
LILRP2_24,0,0,0,0,0,0,0,0,0
LILRP2_25,0,0,0,0,0,0,0,0.333,0
LILRP2_34,0,0,0,0,0,0,0,0,0
LILRP2_36,0,0,0,0,0,0,0,0,0
LIM2,0,0,0,0,1,0,0,0,0
LIM2-AS1,0,0,0,0,0,0,0,0,0
LIMA1,2789,2370,2659,2404,2430.001,1947.999,3061.001,3177,3041.999
LIMCH1,686,208,235,185,80,85,106,828,805
LIMD1,765.429,726.783,910.837,693.592,696.687,559.668,879.386,1017.562,1168.13
LIMD1-AS1,197.57,157.076,140.016,158.408,144.313,98.332,167.421,246.438,181.688
LIMD2,28.066,22.052,23.981,13.627,9.49,8.922,13.939,40.377,41.379
LIME1,307.177,202.376,196.449,213.131,408.346,269.138,406.45,363.877,323.103
LIMK1,628,653,669,695,236,207,349,733,747
LIMK2,782.015,651,695.025,609.488,390.002,275.022,424.074,911.024,960.034
LIMS1,1047.695,1034.836,1359.299,1073.453,2036.78,1729.948,2564.271,1283.207,1230.913
LIMS1-AS1,0,1,1.139,0,4,5,7,0,2
LIMS2,201.999,116.001,113,116.999,40,33.999,60.001,274.999,264.127
LIMS3,1.022,22.289,0,10.557,1.032,7.23,14.388,2.902,0
LIMS3-LOC440895,37.07,28.85,43.443,21.335,16.305,12.767,33.929,30.176,47.815
LIMS4,993.138,2039.043,2541.388,1956.753,550.504,381.984,667.582,1216.061,1279.762
LIN28A,0,10,10,10,1,5,2,2,1
LIN28B,74,213,243,211,165,153,184,119,124
