gene_id,Oxy_rep3,Control_rep1,Control_rep2,Control_rep3,CoCl2_rep1,CoCl2_rep2,CoCl2_rep3,Oxy_rep1,Oxy_rep2
ALDH1B1,818,1719,1789,1587,273,225,350,914,1056
ALDH1L1,3,2,1,4,1,1,2,4,2
ALDH1L1-AS1,0,0,0,0,0,0,0,0,0
ALDH1L1-AS2,0,0,0,0,0,0,0,0,0
ALDH1L2,376,155,202,185,53,45,67,374,433.001
ALDH2,3130,2937.596,3130.029,2671.031,3899,2999,4714,3812,3762
ALDH3A1,222,268.999,267,249,174,132,212,311,299
ALDH3A2,1477.999,1740.001,1944,1821,4011.001,3211,4719.001,1671,1747.001
ALDH3B1,373,253,256,217.999,56.247,46,74,464,436
ALDH3B2,4,3,1,3,5,2,2,6,9
ALDH4A1,411,469,492,414,109,97,154,424,487
ALDH5A1,1215.824,1446.905,1628.755,1342.779,447.248,313.841,537.609,1360.317,1370.922
ALDH6A1,295.258,445.229,488.085,434.668,167.874,114.522,234.448,344.789,363.326
ALDH7A1,4012,4206,4315,3581,1349,1023,1545,4604,4560
ALDH8A1,5,4,4,11,11,5,12,5,1
ALDH9A1,1151,971,1096,861,823,628,922,1347,1286
ALDOA,30120.751,13441.627,13797.185,12788.381,51318.969,40106.764,61909.774,36361.827,36957.794
ALDOB,0,2,0,1,4,1,6,2,2
ALDOC,3717.001,491,481,451,1796,1393.03,2145.999,4872,4826.999
ALG1,621.967,886.333,898.547,785.209,485.095,337.814,624.79,822.19,771.051
ALG10,87.906,79.195,90.37,80.226,17.825,22.801,24.942,107.256,76.437
ALG10B,59.094,43.805,67.63,60.774,23.175,21.199,29.058,58.744,76.562
ALG11,677.104,827.634,861.812,723.929,557.254,423.044,684.643,740.483,782.373
ALG12,567,736,746,701,310,266,421,712,729
ALG13,244,326,382.999,364.001,286.001,205,374.999,314.999,345.001
ALG14,91,106.999,155,118,110.999,91,113.001,96,123.999
ALG14-AS1,0,0,0,0,0,0,0,0,0
ALG1L,13.899,55.3,50.332,44.337,1.028,2.045,10.093,26.257,16.524
ALG1L2,0,1.021,0,0,0,0,0,0,1.004
ALG1L9P,4,5,4,10.069,2.03,1,1.083,6.555,6.048
ALG2,851,753,828,665.999,1032,847,1272,1042,1029.999
ALG3,717.999,875.999,965,879,672,580,852.001,889,966
ALG5,935,1059,1239.999,1033,634.999,571,849,1056.001,1076.999
ALG6,88,103,143,117,29,21,31,98,102
ALG8,2200,3132,3602,3067.999,1506,1318,1819,2442,2646
ALG9,992,965,1028.999,893,848,659,931,1171.001,1223.001
ALK,0,0,0,0,1,1,0,1,0
ALKAL1,0,0,0,0,0,0,0,0,0
ALKAL2,1,0,0,0,2,1,1,1,0
ALKBH1,345,337,382,366,537,362,550,363,342
ALKBH2,264,506,551.001,460.999,276.999,210.999,339,332,292
ALKBH3,431,354,361,313,415,321,503,498,434
ALKBH3-AS1,3,1,1,0,7,4,0,3,1
ALKBH4,161.7,230.849,208.845,202.412,205.947,166.13,245.982,194.406,180.165
ALKBH5,2455,1483,1534,1384,3140,2613,3829,2991,2978
ALKBH6,211.001,186,195,172.001,255.999,228.999,353,303.001,255
ALKBH7,364,364,380,334,619,503,742,488,470
ALKBH8,351,490,585,505,1334.999,1063,1459,404,441
ALLC,1,1,0,0,1,2,0,0,1
ALMS1,680,544,541.785,569,497,396,587,871,888
ALMS1_1,0,0,88.215,0,0,0,0,0,0
ALMS1-IT1,38,30,30,33,39,33,58,49,55
ALMS1P1,0,0,0,1,0,1,0,0,0
ALOX12,6,2,5,1,15,8,18,5,8
ALOX12-AS1,9,5,9,1,8,13,7,2,7
ALOX12B,2,1,1,0,1.392,0,0,1,1
